Raman shift [1/cm],IF1,IF2,IF3,IF4,IF5,IF6,IF7,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16
1478,219.5572165,140.0257446,899.5959042,476.5762031,539.0701103,188.6970635,228.1044239,113.503667,827.6519413,641.640979,154.1049015,663.6181335,2428.774914,795.8050438,509.2682565,158.7674894
1476,221.7142997,142.9540435,820.8524109,420.482746,549.1340525,187.766915,225.8509221,118.5027293,868.3275966,625.5904426,166.0406058,630.8147299,2184.887378,685.1235747,547.7868065,143.8613669
1474,167.9047107,98.00914324,723.214088,404.0365385,601.9411555,125.6568864,211.6699788,137.8905188,853.5525502,661.3970077,221.6349626,628.733709,1960.396,643.0141033,525.7013735,158.2596004
1472,97.15146877,133.8623832,653.3414891,460.5249742,627.7079613,85.81620246,150.8188643,161.2037429,762.7353798,650.1709152,309.9372037,590.0252512,1790.503612,638.7885342,453.5942602,173.2989295
1470,119.5648336,144.7940914,611.8568097,468.58133,598.0397989,168.505418,183.9678531,123.6207176,768.2650341,619.3148555,277.9715958,521.7435043,1592.880547,601.4220219,470.3375893,199.429892
1468,168.3356067,163.6766002,596.1699664,451.17014,567.042445,232.8781378,194.7065703,121.0517471,808.0814252,715.5337682,270.0650998,470.2963559,1468.749977,552.1919726,549.605554,258.2820544
1466,164.6231534,173.0009678,601.3140504,450.21092,581.4316575,180.2842017,202.6257337,157.6878061,814.2554789,784.4521819,315.6887874,458.691388,1416.371006,511.9864895,526.1092501,281.6224059
1464,139.9401334,154.400208,591.0740393,432.4971101,591.2226905,131.2863126,271.1551158,172.1392202,804.7297265,697.3015857,300.4882111,466.5817836,1332.011319,463.9744346,454.9646723,295.8357048
1462,127.9012302,177.9717338,548.924501,403.6622327,555.8454377,179.3897873,270.6146123,179.6392879,783.3850139,611.0202441,277.5346511,446.5523566,1172.485364,413.6677172,525.1001474,358.2754809
1460,118.7698086,171.5410026,510.3259007,445.7119248,597.8240875,189.2963472,153.6750423,173.4309705,719.7130339,553.9348544,409.2173248,372.064072,936.3004248,396.4953154,595.5083641,317.4674624
1458,160.1534779,87.45131385,471.7166033,480.7844556,704.3734504,173.9069518,127.0583227,192.6173708,681.1518378,440.4216745,558.5447266,301.8162696,721.6662032,340.2464832,563.7548642,225.3195605
1456,172.5105143,72.56270775,435.2530398,480.5785467,716.033852,186.3216201,145.4283405,235.1387747,711.3879211,355.910346,626.390624,274.7422958,638.5852126,203.270791,533.2974312,181.5513025
1454,95.36790349,139.6367187,403.4701106,453.0768508,631.5948314,204.1201668,68.53309553,237.2145094,733.7170494,407.6951291,694.1037338,260.2457777,594.2358303,123.4966403,587.2453107,168.1452845
